,state,latitude,longitude,intrastate_gaspipe_within_10miles,interstate_gaspipe_within_10miles,mental_health_provider,mental_health_RGB
299,Michigan,,,False,False,677.0,"(187, 204, 199)"
300,Michigan,,,False,False,677.0,"(187, 204, 199)"
301,Michigan,42.8795638,-82.7687596,False,False,677.0,"(187, 204, 199)"
302,Michigan,42.915599,-83.2824897,False,False,677.0,"(187, 204, 199)"
303,Michigan,42.941807,-83.288821,False,False,677.0,"(187, 204, 199)"
304,Michigan,42.2237071,-84.3386076,False,False,677.0,"(187, 204, 199)"
305,Michigan,42.6752607,-85.4815854,False,False,677.0,"(187, 204, 199)"
306,Michigan,43.6578807,-84.2478002,True,False,677.0,"(187, 204, 199)"
307,Michigan,43.6568712,-84.23322859999999,True,False,677.0,"(187, 204, 199)"
308,Michigan,43.62581580000001,-84.25684869999999,True,False,677.0,"(187, 204, 199)"
309,Michigan,,,False,False,677.0,"(187, 204, 199)"
310,Michigan,,,False,False,677.0,"(187, 204, 199)"
311,Michigan,,,False,False,677.0,"(187, 204, 199)"
312,Michigan,42.0785187,-83.70284749999999,False,False,677.0,"(187, 204, 199)"
313,Michigan,42.0841868,-83.62685549999999,False,False,677.0,"(187, 204, 199)"
314,Michigan,43.2800192,-83.5296099,False,False,677.0,"(187, 204, 199)"
315,Michigan,43.28051929999999,-83.5296403,False,False,677.0,"(187, 204, 199)"
316,Michigan,43.2185681,-83.4915575,True,False,677.0,"(187, 204, 199)"
317,Michigan,,,False,False,677.0,"(187, 204, 199)"
318,Michigan,43.3848517,-86.4232388,False,False,677.0,"(187, 204, 199)"
319,Michigan,42.5851851,-82.86566049999999,True,False,677.0,"(187, 204, 199)"
320,Michigan,42.5987361,-82.8820073,True,False,677.0,"(187, 204, 199)"
321,Michigan,43.1110513,-83.6948994,True,False,677.0,"(187, 204, 199)"
322,Michigan,43.5819086,-84.7756364,True,False,677.0,"(187, 204, 199)"
323,Michigan,43.5819086,-84.7756364,True,False,677.0,"(187, 204, 199)"
324,Michigan,43.5819086,-84.7756364,True,False,677.0,"(187, 204, 199)"
325,Michigan,43.5819086,-84.7756364,True,False,677.0,"(187, 204, 199)"
326,Michigan,43.5819086,-84.7756364,True,False,677.0,"(187, 204, 199)"
327,Michigan,43.599784,-84.78974459999999,False,False,677.0,"(187, 204, 199)"
328,Michigan,43.612163,-84.748628,False,False,677.0,"(187, 204, 199)"
329,Michigan,43.23364360000001,-86.2567244,False,False,677.0,"(187, 204, 199)"
330,Michigan,43.26768,-86.25206999999999,False,False,677.0,"(187, 204, 199)"
331,Michigan,43.23389299999999,-86.251505,False,False,677.0,"(187, 204, 199)"
332,Michigan,43.2218223,-86.2503016,False,False,677.0,"(187, 204, 199)"
333,Michigan,42.605779,-85.0937057,False,False,677.0,"(187, 204, 199)"
334,Michigan,,,False,False,677.0,"(187, 204, 199)"
335,Michigan,42.683873,-82.734149,False,False,677.0,"(187, 204, 199)"
336,Michigan,46.3501262,-85.52466199999999,False,False,677.0,"(187, 204, 199)"
337,Michigan,43.0552178,-83.9680102,True,False,677.0,"(187, 204, 199)"
338,Michigan,,,False,False,677.0,"(187, 204, 199)"
339,Michigan,41.849098,-86.3022178,False,False,677.0,"(187, 204, 199)"
340,Michigan,41.8454187,-86.24851609999999,False,False,677.0,"(187, 204, 199)"
341,Michigan,41.8243461,-86.24265380000001,False,False,677.0,"(187, 204, 199)"
342,Michigan,43.0527281,-82.5767839,False,False,677.0,"(187, 204, 199)"
343,Michigan,,,False,False,677.0,"(187, 204, 199)"
344,Michigan,42.4313825,-83.4821918,True,False,677.0,"(187, 204, 199)"
345,Michigan,42.4503482,-83.47172540000001,True,False,677.0,"(187, 204, 199)"
346,Michigan,42.4530123,-83.4715322,True,False,677.0,"(187, 204, 199)"
347,Michigan,42.463106,-83.492317,True,False,677.0,"(187, 204, 199)"
348,Michigan,43.0769649,-86.0915024,False,False,677.0,"(187, 204, 199)"
349,Michigan,43.0769649,-86.0915024,False,False,677.0,"(187, 204, 199)"
